session id;operation;latency;nb inputs
3;Adam/mul_1;9347367;10
3;Adam/mul;9331243;10
3;gradients/Mean_grad/Maximum;5320301;2
3;Reshape;1910636;2
3;gradients/Mean_grad/Prod_1;1501291;2
3;Adam/update_Variable_4/ApplyAdam;356803;10
3;Adam/update_Variable_5/ApplyAdam;350574;10
3;gradients/Conv2D_1_grad/Shape;225008;1
3;gradients/Mean_grad/Cast;219611;1
3;gradients/Conv2D_1_grad/Conv2DBackpropFilter;211736;3
3;gradients/Mean_grad/floordiv;210435;2
3;gradients/Conv2D_1_grad/tuple/control_dependency;206296;2
3;gradients/Conv2D_grad/Conv2DBackpropFilter;205961;3
3;Variable/read;198632;1
3;Variable_1/read;187963;1
3;Variable_3/read;187048;1
3;Variable_2/read;186916;1
3;Variable_4/read;186398;1
3;Variable_5/read;185862;1
3;Variable_6/read;185143;1
3;Variable_7/read;184095;1
3;gradients/Conv2D_grad/Shape;182322;1
3;Adam/update_Variable_1/ApplyAdam;162438;10
3;beta2_power/read;145336;1
3;beta1_power/read;141700;1
3;gradients/MatMul_1_grad/tuple/control_dependency;87305;2
3;gradients/MatMul_grad/tuple/control_dependency;79927;2
3;gradients/dropout/mul_grad/Sum;71643;2
3;gradients/Conv2D_1_grad/tuple/control_dependency_1;68434;2
3;gradients/MatMul_1_grad/tuple/control_dependency_1;68120;2
3;gradients/Relu_grad/ReluGrad;64517;2
3;gradients/Conv2D_grad/tuple/control_dependency_1;63724;2
3;Adam/update_Variable_7/ApplyAdam;61804;10
3;gradients/MatMul_grad/tuple/control_dependency_1;61527;2
3;Conv2D;61393;2
3;gradients/dropout/mul_grad/Sum_1;58198;2
3;gradients/dropout/mul_grad/Shape_1;57229;1
3;Adam/update_Variable_6/ApplyAdam;54403;10
3;gradients/BiasAdd_grad/tuple/control_dependency;53635;2
3;gradients/BiasAdd_1_grad/tuple/control_dependency;51732;2
3;Adam/update_Variable_3/ApplyAdam;50540;10
3;gradients/MaxPool_1_grad/MaxPoolGrad;45062;3
3;MatMul_1;44672;2
3;dropout/random_uniform/RandomUniform;44647;1
3;gradients/dropout/mul_grad/Shape;44586;1
3;BiasAdd_1;44577;2
3;Reshape_4;44058;2
3;gradients/dropout/div_grad/Neg;43738;1
3;Slice_2;43604;3
3;Adam/Assign_1;39730;2
3;gradients/MatMul_1_grad/MatMul_1;38697;2
3;gradients/Add_grad/Reshape;36173;2
3;gradients/Add_1_grad/Shape;35750;1
3;gradients/dropout/mul_grad/mul_1;34986;2
3;gradients/MatMul_grad/MatMul_1;34783;2
3;MaxPool;32821;1
3;gradients/dropout/mul_grad/BroadcastGradientArgs;31726;2
3;Reshape_3;31393;2
3;dropout/random_uniform/mul;31031;2
3;gradients/dropout/div_grad/Sum;30297;2
3;gradients/dropout/div_grad/RealDiv_1;29942;2
3;gradients/Add_1_grad/Reshape;29528;2
3;gradients/Add_grad/Shape;28536;1
3;gradients/dropout/div_grad/Reshape;28208;2
3;gradients/dropout/div_grad/mul;27317;2
3;gradients/Add_grad/BroadcastGradientArgs;27038;2
3;gradients/dropout/div_grad/RealDiv_2;25685;2
3;Adam/Assign;25626;2
3;dropout/random_uniform;23538;2
3;dropout/div;21973;2
3;gradients/Reshape_4_grad/Shape;21962;1
3;gradients/dropout/div_grad/BroadcastGradientArgs;20593;2
3;gradients/BiasAdd_grad/tuple/control_dependency_1;19728;2
3;gradients/BiasAdd_1_grad/tuple/control_dependency_1;19229;2
3;gradients/dropout/div_grad/Sum_1;17473;2
3;BiasAdd;17437;2
3;gradients/Add_1_grad/tuple/control_dependency;17271;2
3;gradients/Add_grad/Sum_1;17235;2
3;gradients/dropout/mul_grad/tuple/control_dependency;17067;2
3;gradients/Add_1_grad/tuple/control_dependency_1;16765;2
3;gradients/Add_1_grad/Sum_1;16492;2
3;gradients/Mean_grad/Tile;16461;2
3;gradients/dropout/div_grad/tuple/control_dependency;16180;2
3;dropout/Shape;15985;1
3;gradients/Add_grad/tuple/control_dependency;15079;2
3;Shape;15078;1
3;gradients/Add_grad/tuple/control_dependency_1;14581;2
3;Add_1;14434;2
3;gradients/Add_1_grad/BroadcastGradientArgs;14113;2
3;Reshape_1;13784;2
3;Conv2D_1;13606;2
3;Relu_2;13475;1
3;gradients/Mean_grad/truediv;12754;2
3;gradients/dropout/div_grad/Reshape_1;12705;2
3;gradients/BiasAdd_grad/BiasAddGrad;12499;1
3;gradients/Add_1_grad/Reshape_1;12171;2
3;gradients/Relu_1_grad/ReluGrad;12066;2
3;gradients/Add_grad/Reshape_1;11947;2
3;gradients/dropout/mul_grad/Reshape;11660;2
3;gradients/dropout/mul_grad/mul;11203;2
3;gradients/Reshape_4_grad/Reshape;10813;2
3;gradients/dropout/mul_grad/Reshape_1;10756;2
3;Relu;10458;1
3;Adam/update_Variable_2/ApplyAdam;10348;10
3;gradients/Conv2D_grad/Conv2DBackpropInput;10289;3
3;gradients/Conv2D_1_grad/Conv2DBackpropInput;10203;3
3;gradients/BiasAdd_1_grad/BiasAddGrad;9871;1
3;gradients/MatMul_1_grad/MatMul;9824;2
3;gradients/MaxPool_grad/MaxPoolGrad;9519;3
3;gradients/MatMul_grad/MatMul;9456;2
3;gradients/Add_grad/Sum;9329;2
3;Relu_1;9274;1
3;gradients/Reshape_1_grad/Reshape;9042;2
3;gradients/Reshape_1_grad/Shape;8607;1
3;gradients/Mean_grad/Shape;7882;1
3;gradients/Reshape_2_grad/Reshape;7860;2
3;gradients/Add_1_grad/Sum;7425;2
3;MaxPool_1;7319;1
3;dropout/mul;7280;2
3;dropout/add;7268;2
3;Add;6559;2
3;dropout/Floor;6253;1
3;SoftmaxCrossEntropyWithLogits;6164;2
3;Reshape_2;5917;2
3;gradients/SoftmaxCrossEntropyWithLogits_grad/ExpandDims;5574;2
3;gradients/dropout/div_grad/RealDiv;5362;2
3;Adam/update_Variable/ApplyAdam;5171;10
3;gradients/SoftmaxCrossEntropyWithLogits_grad/mul;4526;2
3;concat_1;4307;3
3;gradients/Relu_2_grad/ReluGrad;4208;2
3;concat;3990;3
3;Slice_1;3944;3
3;MatMul;3786;2

4;Adam/mul_1;7727186;10
4;Adam/mul;7708278;10
4;gradients/Mean_grad/Maximum;4343566;2
4;Reshape;1175554;2
4;gradients/Mean_grad/Prod_1;972250;2
4;Adam/update_Variable_4/ApplyAdam;403043;10
4;Adam/update_Variable_5/ApplyAdam;397774;10
4;gradients/Conv2D_grad/Conv2DBackpropFilter;254373;3
4;gradients/Conv2D_1_grad/Conv2DBackpropFilter;236866;3
4;gradients/Conv2D_1_grad/tuple/control_dependency;235822;2
4;Variable/read;214416;1
4;Adam/update_Variable_1/ApplyAdam;211726;10
4;Variable_1/read;211702;1
4;Variable_4/read;209694;1
4;Variable_5/read;208988;1
4;Variable_2/read;208913;1
4;Variable_3/read;208809;1
4;Variable_6/read;208001;1
4;Variable_7/read;207261;1
4;beta2_power/read;161999;1
4;beta1_power/read;159060;1
4;gradients/Mean_grad/Cast;142992;1
4;gradients/Mean_grad/floordiv;140072;2
4;gradients/Conv2D_1_grad/Shape;135670;1
4;gradients/Conv2D_grad/Shape;102376;1
4;gradients/MatMul_1_grad/tuple/control_dependency;83068;2
4;gradients/MatMul_grad/tuple/control_dependency;79555;2
4;gradients/Conv2D_1_grad/tuple/control_dependency_1;76770;2
4;gradients/Conv2D_grad/tuple/control_dependency_1;73665;2
4;gradients/dropout/mul_grad/Sum;65201;2
4;gradients/MatMul_1_grad/tuple/control_dependency_1;64095;2
4;gradients/Relu_grad/ReluGrad;62966;2
4;BiasAdd_1;60165;2
4;Adam/update_Variable_6/ApplyAdam;59654;10
4;gradients/BiasAdd_grad/tuple/control_dependency;59326;2
